b-r-a-v       brave
b-r-e-d       bread
b-r-e-f       brief
b-r-e-f-e     briefly
b-r-e-g-a-n-tn  brigantine
b-r-e-j       bridge
b-r-e-k       brick
b-r-e-k-f-a-s  breakfast
b-r-e-l       brilliance, brilliant
b-r-e-s-b-n   Brisbane
b-r-e-th      breath
b-r-e-v-t     brevet
b-r-e-v-t-e   brevity
b-r-i         bright
b-r-ia        brightly
b-r-i-n       brighten
b-r-i-r       brighter
b-r-l         barrel
b-r-l-e-n     Berlin
b-r-l-s       barrels
b-r-n         brown
b-r-nt        brunt
b-r-o         borough
b-r-o-d       broad
b-r-o-k       broke
b-r-o-k-n     broken
b-r-o-nk-i    bronchitis
b-r-o-sh-u    brochure
b-r-o-t       brought
b-r-o-t-p     brought up (Expert)
b-r-s-e-l-o-n-a  Barcelona
b-r-sh        brush
b-r-s-m-a (s1)  by reason of my (Expert)
b-r-s-t       burst
b-r-s-th (s1-th1)  by reaon of the (Expert)
b-r-s-th (s1-th2)  by reason of their (Expert)
b-r-s-th-a (s1-th1)  by reason of that (Expert)
b-r-u-th      brother
b-r-u-th-l-o  brother-in-law
b-s           business
b-s-e         bankruptcy (DJS Expert), British Columbia
b-s-e-k (s1)  bisect
b-sh          be sure, bushel (with figure)
b-s-i         beside
b-s-p         bespeak
b-s-s         businesses
b-s-tn/r (s1)  bystander
b-s-t-o-l (s1)  bestowal
b-t           but (Simp.)
b-t-a-l-n     battalion
b-t-e         beauty
b-t-e (e2)    better, bitter (1916)
b-t-e-e (e2)  battery
b-t-e-f (e1)  beautiful, beautify
b-t-e-m       betterment
b-t-e-n       better than
b-th          by the
b-t-l         battle
b-tn          between, bidden
b-tn-a-sh     badinage
b-t-u-s       beauteous
b-u           bureau (Expert)
b-u/a         bureaucratic (Expert)
b-u/a-t       bureaucrat (Expert)
b-u-a         by the way, byway
b-u-d         bud, byword
b-u-f         buffalo
b-u-l-e-tn    bulletin
b-u-l-n       bullion
b-u-l-r-k     bulwark
b-u-r-o       burrow, bureau
b-u-r-o-k     bureaucrat
b-u-r-o-k-s-e  bureaucracy
b-u-s         bus
b-u-s-a-d     buzzard
b-u-s-m       bosom
b-u-t         boot, butt
b-u-t-e (e2)  butter
b-u-tn        button
b-u-t-s       boots
b-u-x-m       buxom
ch            change, which
ch/k (intersected)  chamber of commerce
ch/r          charity
ch/t          changed
ch-a (a2)     chair
ch-a-m (a2)   charm
ch-a-m-a-n (a2)  chairman
ch-a-m-b-r    chamber
ch-a-m-p-n    champion
ch-a-n        chain
ch-a-n-l      channel
ch-a-n-s      chance
ch-a-n-ss     chances
ch-a-p-l      chapel
ch-a-p-t-e (e2)  chapter
ch-a-r-o-t    chariot
ch-a-t        chat
ch-a-t-b (a2)  charitable
ch-b          changeable
ch-d-r-f-s-m-a-n  chief draftsman
ch-e (e2)     cheer
ch-e-ch (e2)  church
ch-e-e (e2)   cheery
ch-e-f        chief
ch-e-f (e2)   cheerful
ch-e-f-e      chiefly
ch-e-k        check, Czech
ch-e-k-n      chicken
ch-e-k-n-s    chickens
ch-e-k-s      checks
ch-e-k-t      checked
ch-e-l        children
ch-e-l (l above e)  cheerless
ch-e-nt-s     chintz
ch-e-p        cheap
ch-e-p-r      cheaper
ch-e-r-l      cheerless (Simp.), churl
ch-e-s-t      chest
ch-i-ld       child
ch-i-ld-sh    childish
ch-j          charge; cf. j-j
ch-j-d        charged
ch-k          check (1916)
ch-k-l-a      chocolate
ch-k-l-r      chief clerk
ch-k-s-e-l    chief counsel
ch-k-s-l-v    Czechoslovakia
ch-l          changeless
ch-m-a-n      chairman (DJS Expert)
ch-mn         chairman (Expert)
ch-n-j-e      chief engineer
ch-o-e-s      choice
ch-o-s        chose, which was
ch-o-s-n      chosen, Chosen
ch-s          changes, which is
ch-u-a        Chihuahua
ch-u-s        choose
ch-v          which have
ch-ya (ya2)   chairs
d             would
d (above line)  deter
d/b           debility
d/j (intersected)  de jure
d/k           detract
